2025-04-16 09:33:27.378548 | ENCRYPT | Devraj_print.pdf | aes-cbc | success | /data/data/com.termux/files/home/FileEncryptor/Devraj_print.pdf.enc
2025-04-16 09:36:56.738789 | ENCRYPT | Devraj_print.pdf | aes-cbc | success | /data/data/com.termux/files/home/FileEnc/Devraj_print.pdf.enc
2025-04-16 09:37:26.593011 | DECRYPT | ../FileEnc/Devraj_print.pdf.enc | aes-cbc | success | /data/data/com.termux/files/home/FileDec/decrypted_Devraj_print.pdf.pdf
2025-04-16 09:39:53.987170 | ENCRYPT | Devraj_print.pdf | aes-cbc | success | /data/data/com.termux/files/home/FileEnc/Devraj_print.pdf.enc.enc
2025-04-16 09:44:35.541758 | ENCRYPT | Devraj_print.pdf | aes-cbc | success | /data/data/com.termux/files/home/FileEnc/Devraj_print.pdf.enc
2025-04-16 09:44:57.876163 | DECRYPT | ../FileEnc/Devraj_print.pdf.enc | aes-cbc | success | /data/data/com.termux/files/home/FileDec/decrypted_Devraj_print.pdf.pdf.enc
2025-04-16 09:48:22.995074 | ENCRYPT | Devraj_print.pdf | aes-cbc | success | /data/data/com.termux/files/home/FileEnc/Devraj_print.pdf.enc
2025-04-16 09:48:46.536669 | DECRYPT | ../FileEnc/Devraj_print.pdf.enc | aes-cbc | success | /data/data/com.termux/files/home/FileDec/decrypted_Devraj_print.pdf
2025-04-16 09:50:04.064033 | BATCH-ENCRYPT | ../FileEncSam/sample.txt | aes-cbc | success | /data/data/com.termux/files/home/FileEnc/sample.txt.enc
2025-04-16 09:50:04.125399 | BATCH-ENCRYPT | ../FileEncSam/sample2.txt | aes-cbc | success | /data/data/com.termux/files/home/FileEnc/sample2.txt.enc
2025-04-16 09:50:43.513141 | BATCH-DECRYPT | ../FileEnc/sample.txt.enc | aes-cbc | success | /data/data/com.termux/files/home/FileDec/decrypted_sample.txt
2025-04-16 09:50:43.572072 | BATCH-DECRYPT | ../FileEnc/sample2.txt.enc | aes-cbc | success | /data/data/com.termux/files/home/FileDec/decrypted_sample2.txt
2025-04-16 18:19:58.566131 | ENCRYPT | Devraj_print.pdf | aes-cbc | success | /data/data/com.termux/files/home/FileEncryptor/Devraj_print.pdf.enc
2025-04-16 19:40:35.206527 | DECRYPT | Devraj_print.pdf.enc | aes-cbc | success | /data/data/com.termux/files/home/FileEncryptor/decrypted_Devraj_print.pdf
2025-04-16 22:11:24.414388 | ENCRYPT | ../storage/downloads/encrypto-app/WBB.mp4 | aes-cbc | success | /data/data/com.termux/files/home/storage/downloads/encrypto-app/WBB.mp4.enc
2025-04-16 22:12:16.299997 | DECRYPT | ../storage/downloads/encrypto-app/WBB.mp4.enc | aes-cbc | success | /data/data/com.termux/files/home/storage/downloads/encrypto-app/decrypted_WBB.mp4
2025-04-16 22:14:25.166097 | DECRYPT | Devraj_print.pdf | aes-cbc | error: Data must be padded to 16 byte boundary in CBC mode | N/A
2025-04-16 22:15:11.549163 | DECRYPT | Devraj_print.pdf.enc | aes-gcm | error: decrypt() got an unexpected keyword argument 'output_dir' | N/A
